bill_tag,number,chamber,committee,sponsor
H.R.,5545,House,Veterans' Affairs,"Trone, David J."
H.R.,5545,House,Budget,"Trone, David J."
H.R.,5293,House,Veterans' Affairs,"Mrvan, Frank J."
H.R.,5293,House,Budget,"Mrvan, Frank J."
H.R.,4172,House,Veterans' Affairs,"Crow, Jason"
H.R.,4172,Senate,Veterans' Affairs,"Crow, Jason"
H.R.,3665,House,Veterans' Affairs,"Levin, Mike"
H.R.,3665,Senate,Veterans' Affairs,"Levin, Mike"
H.R.,3475,House,Veterans' Affairs,"Bishop, Sanford D., Jr."
H.R.,3475,Senate,Veterans' Affairs,"Bishop, Sanford D., Jr."
H.R.,2911,House,Veterans' Affairs,"Bost, Mike"
H.R.,2911,Senate,Veterans' Affairs,"Bost, Mike"
H.R.,2545,House,Veterans' Affairs,"Wenstrup, Brad R."
H.R.,2545,Senate,Veterans' Affairs,"Wenstrup, Brad R."
H.R.,2523,House,Veterans' Affairs,"Levin, Mike"
H.R.,2523,House,Budget,"Levin, Mike"
H.R.,2523,Senate,Veterans' Affairs,"Levin, Mike"
H.R.,2441,House,Veterans' Affairs,"Axne, Cynthia"
H.R.,2441,Senate,Veterans' Affairs,"Axne, Cynthia"
H.R.,2093,House,Veterans' Affairs,"Jeffries, Hakeem S."
H.R.,2093,Senate,Veterans' Affairs,"Jeffries, Hakeem S."
H.R.,1510,House,Veterans' Affairs,"McKinley, David B."
H.R.,1510,Senate,Veterans' Affairs,"McKinley, David B."
H.R.,1448,House,Veterans' Affairs,"Stivers, Steve"
H.R.,1448,Senate,Veterans' Affairs,"Stivers, Steve"
H.R.,1281,House,Veterans' Affairs,"Bergman, Jack"
H.R.,1281,Senate,Veterans' Affairs,"Bergman, Jack"
H.R.,1276,House,Veterans' Affairs,"Takano, Mark"
H.R.,711,House,Veterans' Affairs,"Lieu, Ted"
H.R.,711,Senate,Veterans' Affairs,"Lieu, Ted"
H.R.,5763,House,Transportation and Infrastructure,"DeFazio, Peter A."
H.R.,5763,House,Ways and Means,"DeFazio, Peter A."
H.R.,5763,House,Natural Resources,"DeFazio, Peter A."
H.R.,5763,House,"Science, Space, and Technology","DeFazio, Peter A."
H.R.,5763,House,Energy and Commerce,"DeFazio, Peter A."
H.R.,5763,House,Oversight and Reform,"DeFazio, Peter A."
H.R.,5434,House,Transportation and Infrastructure,"DeFazio, Peter A."
H.R.,5434,House,Ways and Means,"DeFazio, Peter A."
H.R.,5434,House,Natural Resources,"DeFazio, Peter A."
H.R.,5434,House,"Science, Space, and Technology","DeFazio, Peter A."
H.R.,5434,House,Energy and Commerce,"DeFazio, Peter A."
H.R.,5434,House,Oversight and Reform,"DeFazio, Peter A."
H.R.,3919,House,Energy and Commerce,"Scalise, Steve"
H.R.,3537,House,Energy and Commerce,"Quigley, Mike"
H.R.,2630,House,Energy and Commerce,"Pappas, Chris"
H.R.,2630,House,Judiciary,"Pappas, Chris"
H.R.,1899,House,Energy and Commerce,"Griffith, H. Morgan"
H.R.,1899,House,Judiciary,"Griffith, H. Morgan"
H.R.,1899,House,Budget,"Griffith, H. Morgan"
H.R.,1899,Senate,Judiciary,"Griffith, H. Morgan"
H.R.,1868,House,Budget,"Yarmuth, John A."
H.R.,1868,House,Energy and Commerce,"Yarmuth, John A."
H.R.,1868,House,Ways and Means,"Yarmuth, John A."
H.R.,1667,House,Energy and Commerce,"Wild, Susan"
H.R.,1667,Senate,"Health, Education, Labor, and Pensions","Wild, Susan"
H.R.,1002,House,Energy and Commerce,"Latta, Robert E."
H.R.,1002,House,Judiciary,"Latta, Robert E."
H.R.,1002,Senate,Judiciary,"Latta, Robert E."
H.R.,941,House,Energy and Commerce,"Matsui, Doris O."
H.R.,941,Senate,"Health, Education, Labor, and Pensions","Matsui, Doris O."
H.R.,189,House,Energy and Commerce,"Barragan, Nanette Diaz"
H.R.,5763,House,Transportation and Infrastructure,"DeFazio, Peter A."
H.R.,5763,House,Ways and Means,"DeFazio, Peter A."
H.R.,5763,House,Natural Resources,"DeFazio, Peter A."
H.R.,5763,House,"Science, Space, and Technology","DeFazio, Peter A."
H.R.,5763,House,Energy and Commerce,"DeFazio, Peter A."
H.R.,5763,House,Oversight and Reform,"DeFazio, Peter A."
H.R.,5434,House,Transportation and Infrastructure,"DeFazio, Peter A."
H.R.,5434,House,Ways and Means,"DeFazio, Peter A."
H.R.,5434,House,Natural Resources,"DeFazio, Peter A."
H.R.,5434,House,"Science, Space, and Technology","DeFazio, Peter A."
H.R.,5434,House,Energy and Commerce,"DeFazio, Peter A."
H.R.,5434,House,Oversight and Reform,"DeFazio, Peter A."
H.R.,3419,House,Oversight and Reform,"Maloney, Carolyn B."
H.R.,3419,Senate,Homeland Security and Governmental Affairs,"Maloney, Carolyn B."
H.R.,3210,House,Oversight and Reform,"Neguse, Joe"
H.R.,3210,Senate,Homeland Security and Governmental Affairs,"Neguse, Joe"
H.R.,2044,House,Oversight and Reform,"Mann, Tracey"
H.R.,2044,Senate,Homeland Security and Governmental Affairs,"Mann, Tracey"
H.R.,960,House,Oversight and Reform,"Wenstrup, Brad R."
H.R.,960,Senate,Homeland Security and Governmental Affairs,"Wenstrup, Brad R."
H.R.,772,House,Oversight and Reform,"Phillips, Dean"
H.R.,772,Senate,Homeland Security and Governmental Affairs,"Phillips, Dean"
H.R.,264,House,Oversight and Reform,"Rice, Tom"
H.R.,264,Senate,Homeland Security and Governmental Affairs,"Rice, Tom"
H.R.,208,House,Oversight and Reform,"Kelly, Trent"
H.R.,208,Senate,Homeland Security and Governmental Affairs,"Kelly, Trent"
H.R.,26,House,Oversight and Reform,"Comer, James"
H.R.,26,House,Budget,"Comer, James"
H.R.,26,Senate,Homeland Security and Governmental Affairs,"Comer, James"
H.R.,6256,House,Foreign Affairs,"McGovern, James P."
